Designator,Mid X,Mid Y,Rotation,Layer
C1,95.96,-71.66,90.0,top
D1,95.17,-75.175,180.0,top
D2,88.08,-66.09,180.0,top
FID1,82.91,-64.77,0.0,top
J1,105.68,-66.255,180.0,top
J2,95.88,-66.26,180.0,top
J3,86.62,-72.0415,0.0,top
R1,85.44,-66.335,270.0,top
R2,93.04,-71.655,270.0,top
R3,94.5,-71.655,90.0,top
SW1,104.17,-72.865,0.0,top
